0    INFO   Forking Pnode pnode2...
2    INFO   RINAConfig: configuration file: pnode2.properties loaded
8    INFO   RINAConfig: IPCName: pnode2
8    INFO   RINAConfig: The name of the DIF that is going to join  is: DIF1
8    INFO   RINAConfig: User name is: BU
8    INFO   RINAConfig: Pass word is: BU
8    INFO   RINAConfig: IDD name is: idd
10   INFO   RINAConfig: DNSName: localhost
10   INFO   RINAConfig: DNSPort: 21111
10   INFO   RINAConfig: TCPPort: 21116
41   INFO   TCPFlowManager: Registration to DNS finished
5044 INFO   RINAConfig: name of neihbour 1 is idd
5048 INFO   TCPFlowManager: DNS Query of idd finished
5054 INFO   TCPFlowManager: New TCP Flow is added: idd
5055 INFO   RINAConfig: name of neihbour 2 is InPManagerIPC
5056 INFO   TCPFlowManager: DNS Query of InPManagerIPC finished
5057 INFO   TCPFlowManager: New TCP Flow is added: InPManagerIPC
5057 INFO   RINAConfig: name of neihbour 3 is pnode1
5077 INFO   TCPFlowManager: DNS Query of pnode1 finished
5078 INFO   TCPFlowManager: New TCP Flow is added: pnode1
5078 INFO   IPC Process pnode2 : init Connection done
5096 INFO   TCPFlowManager: flow allocated before.
5096 INFO   IPC Process pnode2 of DIF DIF1: M_READ to IDD sent
5097 INFO   IPC Process pnode2 of DIF DIF1 has state: WAIT_FOR_IDD_LOOKUP
5100 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is idd and objclass is IDDEntry, objName is bu
5100 INFO   IPC Process pnode2 of DIF DIF1: IDD M_READ_R(OK) received
5110 INFO   IPC Process pnode2 of DIF DIF1: NMS of the dst DIF is InPManagerIPC
5110 INFO   IPC Process pnode2 of DIF DIF1: new flow allocated for NMS: InPManagerIPC
5113 INFO   TCPFlowManager: flow allocated before.
5114 INFO   IPC Process pnode2 of DIF DIF1: M_START to NMS sent
5114 INFO   IPC Process State: WAIT_TO_JOIN_DIF
5117 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_START_R and src is InPManagerIPC and objclass is enrollment information, objName is /daf/management/enrollment
5117 INFO   IPC Process pnode2 of DIF DIF1: NMS M_START_R(OK) received
5117 INFO   IPC Process State: JOINING_DIF
5117 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_CREATE and src is InPManagerIPC and objclass is DIFMemberList, objName is DIFMemberList
5118 INFO   IPC Process pnode2 of DIF DIF1: M_CREATE received
5125 INFO   IPC Process pnode2 of DIF DIF1: Current memberList is [InPManagerIPC, pnode1, pnode2]
5126 INFO   TCPFlowManager: flow allocated before.
5126 INFO   IPC Process pnode2 of DIF DIF1: M_CREATE_R(OK) to NMS InPManagerIPC sent
5126 INFO   IPC Process State: WAIT_FOR_START
5130 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_STOP and src is InPManagerIPC and objclass is enrollment information, objName is /daf/management/enrollment
5130 INFO   IPC Process pnode2 of DIF DIF1: M_STOP received
5131 INFO   TCPFlowManager: flow allocated before.
5131 INFO   IPC Process pnode2 of DIF DIF1: M_STOP_R(Enrollment) to NMS InPManagerIPC sent
5131 INFO   IPC Process pnode2 of DIF DIF1 has state: DIF_JOINED
5132 INFO   IPC Process pnode2 of DIF DIF1: Enrollment phase complete
5132 INFO   RINAConfig: IDD name is: idd
5135 INFO   RIBDaemon(pnode2): sub name is appsReachable, frequency is 2
5137 INFO   RIBDaemon(pnode2): sub name is neighbour, frequency is 2
5138 INFO   TCPFlowManager: flow allocated before.
5139 INFO   SubHandler(pnode2):  M_READ(PubSub/appsReachable) to NMS sent
5140 INFO   CADConfig: configuration file: pnode2.properties loaded
5144 INFO   TCPFlowManager: flow allocated before.
5145 INFO   IPC Process pnode2 of DIFDIF1: M_CREATE registerApp pnode2 sent to NMS, and NMS name is InPManagerIPC
5145 INFO   Flow Allocator: allocate flow to IDD for pnode2
5146 INFO   Flow Allocator:  portID is 4990 for IDD, and app Name is pnode2
5147 INFO   IRM: get a handle to IDD, and it is 7443
5150 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
5151 INFO   RIBDaemon(pnode2): opcode is M_READ objClass is PubSub received from InPManagerIPC
5151 INFO   RIBDaemon(pnode2)subscribe request received from  InPManagerIPC and it is for appStatus with frequency 7
5155 WARN   RIBDaemon(pnode2): subscriber(InPManagerIPC) to  appStatus#7failed, the sub event does not exist
5949 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
5950 INFO   RIBDaemon(pnode2): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
5950 INFO   RIBDaemon(pnode2): appsReachable(freq: 2)M_READ_R received
7952 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
7952 INFO   RIBDaemon(pnode2): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
7952 INFO   RIBDaemon(pnode2): appsReachable(freq: 2)M_READ_R received
9955 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
9955 INFO   RIBDaemon(pnode2): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
9955 INFO   RIBDaemon(pnode2): appsReachable(freq: 2)M_READ_R received
9970 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_WRITE and src is InPManagerIPC and objclass is DIFMemberList, objName is DIFMemberList
9970 INFO   IPC Process pnode2 of DIFDIF1: Current memberList is [InPManagerIPC, pnode1, pnode2, pnode3]
