0    INFO   Forking Pnode pnode2...
3    INFO   RINAConfig: configuration file: pnode2.properties loaded
7    INFO   RINAConfig: IPCName: pnode2
8    INFO   RINAConfig: The name of the DIF that is going to join  is: DIF1
8    INFO   RINAConfig: User name is: BU
8    INFO   RINAConfig: Pass word is: BU
8    INFO   RINAConfig: IDD name is: idd
9    INFO   RINAConfig: DNSName: localhost
9    INFO   RINAConfig: DNSPort: 21111
9    INFO   RINAConfig: TCPPort: 21115
52   INFO   TCPFlowManager: Registration to DNS finished
0    INFO   Forking Pnode pnode2...
2    INFO   RINAConfig: configuration file: pnode2.properties loaded
7    INFO   RINAConfig: IPCName: pnode2
7    INFO   RINAConfig: The name of the DIF that is going to join  is: DIF1
7    INFO   RINAConfig: User name is: BU
8    INFO   RINAConfig: Pass word is: BU
8    INFO   RINAConfig: IDD name is: idd
9    INFO   RINAConfig: DNSName: localhost
9    INFO   RINAConfig: DNSPort: 21111
9    INFO   RINAConfig: TCPPort: 21116
43   INFO   TCPFlowManager: Registration to DNS finished
5046 INFO   RINAConfig: name of neihbour 1 is idd
5051 INFO   TCPFlowManager: DNS Query of idd finished
5056 INFO   TCPFlowManager: New TCP Flow is added: idd
5057 INFO   RINAConfig: name of neihbour 2 is InPManagerIPC
5058 INFO   TCPFlowManager: DNS Query of InPManagerIPC finished
5058 INFO   TCPFlowManager: New TCP Flow is added: InPManagerIPC
5059 INFO   RINAConfig: name of neihbour 3 is pnode1
5060 INFO   TCPFlowManager: DNS Query of pnode1 finished
5060 INFO   TCPFlowManager: New TCP Flow is added: pnode1
5061 INFO   IPC Process pnode2 : init Connection done
5076 INFO   TCPFlowManager: flow allocated before.
5077 INFO   IPC Process pnode2 of DIF DIF1: M_READ to IDD sent
5077 INFO   IPC Process pnode2 of DIF DIF1 has state: WAIT_FOR_IDD_LOOKUP
5079 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is idd and objclass is IDDEntry, objName is bu
5079 INFO   IPC Process pnode2 of DIF DIF1: IDD M_READ_R(OK) received
5091 INFO   IPC Process pnode2 of DIF DIF1: NMS of the dst DIF is InPManagerIPC
5091 INFO   IPC Process pnode2 of DIF DIF1: new flow allocated for NMS: InPManagerIPC
5094 INFO   TCPFlowManager: flow allocated before.
5094 INFO   IPC Process pnode2 of DIF DIF1: M_START to NMS sent
5095 INFO   IPC Process State: WAIT_TO_JOIN_DIF
5097 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_START_R and src is InPManagerIPC and objclass is enrollment information, objName is /daf/management/enrollment
5097 INFO   IPC Process pnode2 of DIF DIF1: NMS M_START_R(OK) received
5097 INFO   IPC Process State: JOINING_DIF
5098 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_CREATE and src is InPManagerIPC and objclass is DIFMemberList, objName is DIFMemberList
5115 INFO   IPC Process pnode2 of DIF DIF1: M_CREATE received
5122 INFO   IPC Process pnode2 of DIF DIF1: Current memberList is [InPManagerIPC, pnode1, pnode2]
5122 INFO   TCPFlowManager: flow allocated before.
5123 INFO   IPC Process pnode2 of DIF DIF1: M_CREATE_R(OK) to NMS InPManagerIPC sent
5123 INFO   IPC Process State: WAIT_FOR_START
5127 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_STOP and src is InPManagerIPC and objclass is enrollment information, objName is /daf/management/enrollment
5127 INFO   IPC Process pnode2 of DIF DIF1: M_STOP received
5127 INFO   TCPFlowManager: flow allocated before.
5128 INFO   IPC Process pnode2 of DIF DIF1: M_STOP_R(Enrollment) to NMS InPManagerIPC sent
5128 INFO   IPC Process pnode2 of DIF DIF1 has state: DIF_JOINED
5128 INFO   IPC Process pnode2 of DIF DIF1: Enrollment phase complete
5128 INFO   RINAConfig: IDD name is: idd
5132 INFO   RIBDaemon(pnode2): sub name is appsReachable, frequency is 2
5134 INFO   RIBDaemon(pnode2): sub name is neighbour, frequency is 2
5135 INFO   TCPFlowManager: flow allocated before.
5137 INFO   SubHandler(pnode2):  M_READ(PubSub/appsReachable) to NMS sent
5139 INFO   CADConfig: configuration file: pnode2.properties loaded
5143 INFO   TCPFlowManager: flow allocated before.
5143 INFO   IPC Process pnode2 of DIFDIF1: M_CREATE registerApp pnode2 sent to NMS, and NMS name is InPManagerIPC
5144 INFO   Flow Allocator: allocate flow to IDD for pnode2
5145 INFO   Flow Allocator:  portID is 4699 for IDD, and app Name is pnode2
5146 INFO   IRM: get a handle to IDD, and it is 4462
5147 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
5147 INFO   RIBDaemon(pnode2): opcode is M_READ objClass is PubSub received from InPManagerIPC
5148 INFO   RIBDaemon(pnode2)subscribe request received from  InPManagerIPC and it is for appStatus with frequency 7
5148 WARN   RIBDaemon(pnode2): subscriber(InPManagerIPC) to  appStatus#7failed, the sub event does not exist
6810 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
6810 INFO   RIBDaemon(pnode2): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
6810 INFO   RIBDaemon(pnode2): appsReachable(freq: 2)M_READ_R received
8812 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
8813 INFO   RIBDaemon(pnode2): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
8813 INFO   RIBDaemon(pnode2): appsReachable(freq: 2)M_READ_R received
10815 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
10815 INFO   RIBDaemon(pnode2): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
10816 INFO   RIBDaemon(pnode2): appsReachable(freq: 2)M_READ_R received
12818 INFO   IPCProcess(pnode2): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
12818 INFO   RIBDaemon(pnode2): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
12818 INFO   RIBDaemon(pnode2): appsReachable(freq: 2)M_READ_R received
