0    INFO   Forking Pnode pnode3...
2    INFO   RINAConfig: configuration file: pnode3.properties loaded
7    INFO   RINAConfig: IPCName: pnode3
7    INFO   RINAConfig: The name of the DIF that is going to join  is: DIF1
7    INFO   RINAConfig: User name is: BU
7    INFO   RINAConfig: Pass word is: BU
8    INFO   RINAConfig: IDD name is: idd
9    INFO   RINAConfig: DNSName: localhost
9    INFO   RINAConfig: DNSPort: 21111
9    INFO   RINAConfig: TCPPort: 21113
42   INFO   TCPFlowManager: Registration to DNS finished
5045 INFO   RINAConfig: name of neihbour 1 is idd
5052 INFO   TCPFlowManager: DNS Query of idd finished
5058 INFO   TCPFlowManager: New TCP Flow is added: idd
5059 INFO   RINAConfig: name of neihbour 2 is InPManagerIPC
5060 INFO   TCPFlowManager: DNS Query of InPManagerIPC finished
5061 INFO   TCPFlowManager: New TCP Flow is added: InPManagerIPC
5061 INFO   IPC Process pnode3 : init Connection done
5076 INFO   TCPFlowManager: flow allocated before.
5077 INFO   IPC Process pnode3 of DIF DIF1: M_READ to IDD sent
5077 INFO   IPC Process pnode3 of DIF DIF1 has state: WAIT_FOR_IDD_LOOKUP
5079 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is idd and objclass is IDDEntry, objName is bu
5079 INFO   IPC Process pnode3 of DIF DIF1: IDD M_READ_R(OK) received
5091 INFO   IPC Process pnode3 of DIF DIF1: NMS of the dst DIF is InPManagerIPC
5091 INFO   IPC Process pnode3 of DIF DIF1: new flow allocated for NMS: InPManagerIPC
5094 INFO   TCPFlowManager: flow allocated before.
5094 INFO   IPC Process pnode3 of DIF DIF1: M_START to NMS sent
5095 INFO   IPC Process State: WAIT_TO_JOIN_DIF
5097 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_START_R and src is InPManagerIPC and objclass is enrollment information, objName is /daf/management/enrollment
5098 INFO   IPC Process pnode3 of DIF DIF1: NMS M_START_R(OK) received
5098 INFO   IPC Process State: JOINING_DIF
5099 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_CREATE and src is InPManagerIPC and objclass is DIFMemberList, objName is DIFMemberList
5099 INFO   IPC Process pnode3 of DIF DIF1: M_CREATE received
5106 INFO   IPC Process pnode3 of DIF DIF1: Current memberList is [InPManagerIPC, pnode1, pnode2, pnode3]
5106 INFO   TCPFlowManager: flow allocated before.
5106 INFO   IPC Process pnode3 of DIF DIF1: M_CREATE_R(OK) to NMS InPManagerIPC sent
5107 INFO   IPC Process State: WAIT_FOR_START
5110 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_STOP and src is InPManagerIPC and objclass is enrollment information, objName is /daf/management/enrollment
5110 INFO   IPC Process pnode3 of DIF DIF1: M_STOP received
5111 INFO   TCPFlowManager: flow allocated before.
5111 INFO   IPC Process pnode3 of DIF DIF1: M_STOP_R(Enrollment) to NMS InPManagerIPC sent
5111 INFO   IPC Process pnode3 of DIF DIF1 has state: DIF_JOINED
5111 INFO   IPC Process pnode3 of DIF DIF1: Enrollment phase complete
5111 INFO   RINAConfig: IDD name is: idd
5117 INFO   RIBDaemon(pnode3): sub name is appsReachable, frequency is 2
5119 INFO   RIBDaemon(pnode3): sub name is neighbour, frequency is 2
5119 INFO   TCPFlowManager: flow allocated before.
5123 INFO   SubHandler(pnode3):  M_READ(PubSub/appsReachable) to NMS sent
5126 INFO   CADConfig: configuration file: pnode3.properties loaded
5130 INFO   TCPFlowManager: flow allocated before.
5130 INFO   IPC Process pnode3 of DIFDIF1: M_CREATE registerApp pnode3 sent to NMS, and NMS name is InPManagerIPC
5131 INFO   Flow Allocator: allocate flow to IDD for pnode3
5132 INFO   Flow Allocator:  portID is 5538 for IDD, and app Name is pnode3
5133 INFO   IRM: get a handle to IDD, and it is 3656
5133 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
5134 INFO   RIBDaemon(pnode3): opcode is M_READ objClass is PubSub received from InPManagerIPC
5135 INFO   RIBDaemon(pnode3)subscribe request received from  InPManagerIPC and it is for appStatus with frequency 7
5135 WARN   RIBDaemon(pnode3): subscriber(InPManagerIPC) to  appStatus#7failed, the sub event does not exist
7102 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
7103 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
7103 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
9105 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
9106 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
9106 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
11108 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
11108 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
11109 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
13112 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
13112 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
13113 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
15115 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
15115 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
15115 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
17117 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
17118 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
17118 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
19120 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
19121 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
19121 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
21123 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
21124 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
21124 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
23126 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
23127 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
23127 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
25129 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
25129 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
25129 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
27133 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
27133 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
27133 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
28735 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_WRITE and src is InPManagerIPC and objclass is DIFMemberList, objName is DIFMemberList
28736 INFO   IPC Process pnode3 of DIFDIF1: Current memberList is [InPManagerIPC, pnode1, pnode2, pnode3, sp]
28736 INFO   TCPFlowManager: flow allocated before.
28736 INFO   IPC Process pnode3 of DIF DIF1: M_WRITE_R(OK) to NMS InPManagerIPC sent
28737 INFO   IPC Process: new member has joined DIF DIF1 and the current member are [InPManagerIPC, pnode1, pnode2, pnode3, sp]
29137 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
29138 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
29138 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
31139 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
31139 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
31139 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
33143 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
33145 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
33145 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
35145 INFO   IPCProcess(pnode3): cdapMessage received, and opcode is M_READ_R and src is InPManagerIPC and objclass is PubSub, objName is InPManagerIPC
35146 INFO   RIBDaemon(pnode3): opcode is M_READ_R objClass is PubSub received from InPManagerIPC
35146 INFO   RIBDaemon(pnode3): appsReachable(freq: 2)M_READ_R received
